,Alien taxon involved?,Wild formed,Hybrid Ploidy,Hybrid Chromosome number,Parent A,Parent B,Ploidy A,Chromosome number A,Ploidy B,Chromosome Number B,Within/Between Species,Is hybrid a species?,Within/Between ploidy level,Notes?,Hybrid Name,Aneuploidy,"Unless otherwise stated, ploidy estimates are from either the book, or The Kew database",Hybrid species name,Hybrid species nature
640,,NA,,,Gymnadenia densiflora,Dactylorhiza fuchsii,Multiple,"40, 80",2,40,Between,No,,,,NA,NA,,
641,,NA,,,Gymnadenia borealis,Dactylorhiza fuchsii,2,40,2,40,Between,No,Within,,,NA,NA,,
642,,NA,,,Gymnadenia conopsea,Dactylorhiza maculata,2,40,4,80,Between,No,Between,,,NA,NA,,
643,,NA,,,Gymnadenia borealis,Dactylorhiza maculata,2,40,4,80,Between,No,Between,,,NA,NA,,
644,,NA,,,Gymnadenia borealis,Dactylorhiza incarnata,2,40,2,40,Between,No,Within,,,NA,NA,,
645,,NA,,,Gymnadenia conopsea,Dactylorhiza praetermissa,2,40,4,80,Between,No,Between,,,NA,NA,,
646,,NA,,,Gymnadenia densiflora,Dactylorhiza praetermissa,Multiple,"40, 80",4,80,Between,No,,,,NA,NA,,
647,,NA,,,Gymnadenia conopsea,Dactylorhiza purpurella,2,40,4,80,Between,No,Between,,,NA,NA,,
648,,NA,,,Gymnadenia densiflora,Dactylorhiza purpurella,2,40,4,80,Between,No,Between,,,NA,NA,,
649,,NA,,,Gymnadenia borealis,Dactylorhiza purpurella,2,40,4,80,Between,No,Between,,,NA,NA,,
650,,NA,,,Gymnadenia conopsea,Anacamptis pyramidalis,2,"40 (20, 40, 60, 80, 100)",Multiple,"(20, 36, 42, 54, 72)",Between,No,,,,NA,NA,,
651,,NA,,,Coeloglossum viride,Dactylorhiza fuchsii,2,40,2,40,Between,No,Within,,,NA,NA,,
652,,NA,,,Coeloglossum viride,Dactylorhiza maculata,2,40,4,80,Between,No,Between,,,NA,NA,,
655,,NA,,,Coeloglossum viride,Dactylorhiza purpurella,2,40,4,80,Between,No,Between,,,NA,NA,,
656,,NA,,60,Dactylorhiza fuchsii,Dactylorhiza maculata,2,40,4,80,Between,No,Between,,,NA,NA,,
657,,NA,,40,Dactylorhiza fuchsii,Dactylorhiza incarnata,2,40,2,40,Between,No,Within,,,NA,NA,,
658,,NA,,60,Dactylorhiza fuchsii,Dactylorhiza praetermissa,2,40,4,80,Between,No,Between,,,NA,NA,,
659,,NA,,60,Dactylorhiza fuchsii,Dactylorhiza purpurella,2,40,4,80,Between,No,Between,,,NA,NA,,
660,,NA,,60,Dactylorhiza fuchsii,Dactylorhiza trausteinerioides,2,40,4,80,Between,No,Between,,,NA,NA,,
661,,NA,,,Dactylorhiza fuchsii,Dactylorhiza kerryensis,2,40,4,80,Between,No,Between,,,NA,NA,,
662,,NA,,60,Dactylorhiza maculata,Dactylorhiza incarnata,4,80,2,40,Between,No,Between,,,NA,NA,,
663,,NA,,80,Dactylorhiza maculata,Dactylorhiza praetermissa,4,80,4,80,Between,No,Within,,,NA,NA,,
664,,NA,,,Dactylorhiza maculata,Dactylorhiza purpurella,4,80,4,80,Between,No,Within,,,NA,NA,,
665,,NA,,,Dactylorhiza maculata,Dactylorhiza trausteinerioides,4,80,4,80,Between,No,Within,,,NA,NA,,
666,,NA,,,Dactylorhiza maculata,Dactylorhiza kerryensis,4,80,4,80,Between,No,Within,,,NA,NA,,
667,,NA,,,Dactylorhiza incarnata,Dactylorhiza praetermissa,2,40,4,80,Between,No,Between,,,NA,NA,,
668,,NA,,,Dactylorhiza incarnata,Dactylorhiza purpurella,2,40,4,80,Between,No,Between,,,NA,NA,,
669,,NA,,60,Dactylorhiza incarnata,Dactylorhiza trausteinerioides,2,40,4,80,Between,No,Between,,,NA,NA,,
670,,NA,,,Dactylorhiza incarnata,Dactylorhiza kerryensis,2,40,4,80,Between,No,Between,,,NA,NA,,
671,,NA,,,Dactylorhiza praetermissa,Dactylorhiza purpurella,4,80,4,80,Between,No,Within,,,NA,NA,,
672,,NA,,80,Dactylorhiza praetermissa,Dactylorhiza trausteinerioides,4,80,4,80,Between,No,Within,,,NA,NA,,
673,,NA,,,Dactylorhiza purpurella,Dactylorhiza trausteinerioides,4,80,4,80,Between,No,Within,,,NA,NA,,
675,,NA,,,Orchis purpurea,Orchis simia,2,42,2,42,Between,No,Within,"Fitness variation and genetic diversity in small, remnant populations of the food deceptive orchid Orchis purpurea",,NA,NA,,
676,,NA,,,Orchis purpurea,Orchis anthropophora,2,42,2,42,Between,No,Within,,,NA,NA,,
677,,NA,,,Orchis militaris,Orchis simia,2,42,2,42,Between,No,Within,,,NA,NA,,
678,,NA,,,Orchis simia,Orchis anthropophora,2,42,2,42,Between,No,Within,,,NA,NA,,
679,,NA,,,Orchis mascula,Anacamptis morio,2,42,2,36,Between,No,,,,NA,NA,,
680,,NA,,,Anacamptis laxiflora,Anacamptis morio,2,36,2,36,Between,No,Within,,,NA,NA,,
681,,NA,,,Ophrys insectifera,Ophrys sphegodes,2,36,2,36,Between,No,Within,,,NA,NA,,
682,,NA,,,Ophrys insectifera,Ophrys apifera,2,36,2,36,Between,No,Within,,,NA,NA,,
683,,NA,,,Ophrys sphegodes,Ophrys fuciflora,2,36,2,36,Between,No,Within,,,NA,NA,,
684,,NA,,,Ophrys apifera,Ophrys fuciflora,2,36,2,36,Between,No,Within,,,NA,NA,,
685,,NA,,16,Crocus neapolitanus,Crocus tommasinianus,2,"8, 16",4,16,Between,No,Within,,,NA,NA,,
686,,NA,,,Crocus chrysanthus,Crocus biflorus,Multiple,"(8, 10, 12, 13, 14, 16, 18, 19, 20)",Multiple,"(12, 16, 18, 20, 22)",Between,No,,,,NA,NA,,
687,,NA,,,Crocosmia paniculata,Crocosmia pottsii,Unknown,22,Unknown,22,Between,No,Within,,,NA,NA,,
688,,NA,,,Galanthus nivalis,Galanthus plicatus,Multiple,"24-28, 36, 48",2,24,Between,No,,,,NA,NA,,
689,,NA,,,Galanthus nivalis,Galanthus elwesii,Multiple,"24-28, 36, 48",2,24,Between,No,,,,NA,NA,,
690,,NA,,,Galanthus plicatus,Galanthus elwesii,2,24,2,24,Between,No,Within,,,NA,NA,,
691,,NA,,"17, 24",Narcissus tazetta,Narcissus poeticus,Multiple,"14, 20-24, 28, 30-32",Multiple,"14, 21, 28",Between,No,,,,NA,NA,,
692,,NA,,"17, 24",Narcissus tazetta,Narcissus cyclamineus,Multiple,"14, 20-24, 28, 30-32",Multiple,"14, 28",Between,No,,,,NA,NA,,
693,,NA,,"14, 21, 26, 27, 28, 29",Narcissus poeticus,Narcissus pseudonarcissus,Multiple,"14, 21, 28",Multiple,"14, 43 (14, 15, 21, 22, 27, 28, 30)",Between,No,,,,NA,NA,,
694,,NA,,"14, 21, 27, 28, 29",Narcissus poeticus,Narcissus hispanicus,Multiple,"14, 21, 28",Multiple,14-18,Between,No,,,,NA,NA,,
695,,NA,,"14, 21, 26, 27, 28, 29, 36",Narcissus poeticus,Narcissus pseudonarcissus,Multiple,"14, 21, 28",Multiple,"14, 28, 29",Between,No,,,,NA,NA,,
696,,NA,,14,Narcissus jonquilla,Narcissus pseudonarcissus,2,14,Multiple,"14, 43 (14, 15, 21, 22, 27, 28, 30)",Between,No,,,,NA,NA,,
697,,NA,,"14, 21",Narcissus triandrus,Narcissus pseudonarcissus,Multiple,"14, 21",Multiple,"14, 43 (14, 15, 21, 22, 27, 28, 30)",Between,No,,,,NA,NA,,
698,,NA,Triploid,21,Narcissus pseudonarcissus,Narcissus cyclamineus,Multiple,"14, 43 (14, 15, 21, 22, 27, 28, 30)",2,14,Between,No,,,,NA,NA,,
699,,NA,,35,Narcissus pseudonarcissus,Narcissus cyclamineus,Multiple,"14, 28, 29",2,14,Between,No,Between,,,NA,NA,,
700,,NA,,"19, 28",Polygonatum multiflorum,Polygonatum odoratum,Multiple,"18, 30",Multiple,"20, 26, 28, 29, 30",Between,No,,,,NA,NA,,
701,,NA,,,Scilla forbesii,Scilla bifolia,Unknown,,Unknown,"18, 20, 26 (Russian book)",Between,,,,,NA,NA,,
702,,NA,,"16, 24",Hyacinthoides non-scripta,Hyacinthoides hispanica,Multiple,"16, 24",Multiple,"16, 24",Between,No,,"Diploid, triploid",,NA,NA,,
703,,NA,,,Sparganium emersum,Sparganium angustifolium,2,30,2,30,Between,No,Within,,,NA,NA,,
704,,NA,,,Typha latifolia,Typha angustifolia,2,30,Multiple,"30, 60",Between,No,,,,NA,NA,,
705,,NA,,60,Juncus alpinoarticulatus,Juncus articulatus,4,40,8,80,Between,No,Between,,,NA,NA,,
706,,NA,,60,Juncus articulatus,Juncus acutiflorus,8,80,4,40,Between,No,Between,,,NA,NA,,
707,,NA,,,Juncus compressus,Juncus gerardii,4,"(40, 44)",8,"84 (80, 84)",Between,No,Between,,,NA,NA,,
708,,NA,,84,Juncus balticus,Juncus inflexus,8,84,4,"40, 42",Between,No,Between,,,NA,NA,,
709,,NA,,80-83,Juncus balticus,Juncus effusus,8,84,4,40,Between,No,Between,,,NA,NA,,
710,,NA,,42,Juncus inflexus,Juncus effusus,4,40,4,40,Between,No,Within,,,NA,NA,,
712,,NA,,,Juncus inflexus,Juncus pallidus,4,"40, 42",Unknown,,Between,No,,,,NA,NA,,
713,,NA,,,Juncus effusus,Juncus conglomeratus,4,"40, 42",4,42,Between,No,Within,,,NA,NA,,
714,,NA,,,Juncus effusus,Juncus pallidus,4,"40, 42",Unknown,,Between,No,,,,NA,NA,,
715,,NA,,45,Luzula forsteri,Luzula pilosa,2,24,Unknown,"62, 66",Between,No,Between,,,NA,NA,,
716,,NA,,,Trichophorum cespitosum,Trichophorum cespitosum,Unknown,,Unknown,,Between,,,,,NA,NA,,
717,,NA,,,Eleocharis palustris,Eleocharis uniglumis,Unknown,38,Multiple,"40, 44-48, 50, 88-92",Between,No,,,,NA,NA,,
718,,NA,,42,Schoenoplectus lacustris,Schoenoplectus triqueter,Unknown,42,Unknown,"40, 42",Between,No,Within,,,NA,NA,,
719,,NA,,42,Schoenoplectus tabernaemontani,Schoenoplectus triqueter,Unknown,42,Unknown,42,Between,No,Within,,,NA,NA,,
720,,NA,,,Carex paniculata,Carex appropinquata,,"60, 62, 64",,64,Between,No,Within,,,NA,NA,,
721,,NA,,,Carex paniculata,Carex diandra,,"60, 62, 64",,60,Between,No,Within,,,NA,NA,,
722,,NA,,,Carex paniculata,Carex remota,,"60, 62, 64",,"60, 62",Between,No,Within,,,NA,NA,,
723,,NA,,,Carex paniculata,Carex canescens,,"60, 62, 64",,"56, 62",Between,No,,,,NA,NA,,
724,,NA,,,Carex vulpina,Carex otrubae,,"65, 68",,58,Between,No,,,,NA,NA,,
725,,NA,,,Carex otrubae,Carex spicata,,58,,58,Between,No,Within,,,NA,NA,,
726,,NA,,,Carex otrubae,Carex divulsa,,58,,58,Between,No,Within,,,NA,NA,,
727,,NA,,,Carex otrubae,Carex remota,,58,,"60, 62",Between,No,,,,NA,NA,,
728,,NA,,,Carex muricata,Carex divulsa,,56,,58,Between,No,,,,NA,NA,,
729,,NA,,,Carex divulsa,Carex remota,,58,,"60, 62",Between,No,,,,NA,NA,,
730,,NA,,,Carex echinata,Carex dioica,,58,,52,Between,No,,,,NA,NA,,
731,,NA,,,Carex echinata,Carex canescens,,"56, 62",,58,Between,No,,,,NA,NA,,
732,,NA,,,Carex lachenalii,Carex canescens,,"58, 62, 64",,"56, 62",Between,No,,,,NA,NA,,
733,,NA,,,Carex hirta,Carex vesicaria,,112,,"74, 82",Between,No,,,,NA,NA,,
734,,NA,,,Carex lasiocarpa,Carex riparia,,56,,72,Between,No,,,,NA,NA,,
735,,NA,,,Carex acutiformis,Carex riparia,,38,,72,Between,No,,,,NA,NA,,
736,,NA,,,Carex acutiformis,Carex vesicaria,,38,,"74, 82",Between,No,,,,NA,NA,,
737,,NA,,,Carex acutiformis,Carex acuta,,38,,82-85,Between,No,,,,NA,NA,,
738,,NA,,,Carex riparia,Carex rostrata,,72,,"72-74, 76, 80, 82",Between,No,,,,NA,NA,,
739,,NA,,,Carex riparia,Carex vesicaria,,72,,"74, 82",Between,No,,,,NA,NA,,
740,,NA,,,Carex pseudocyperus,Carex rostrata,,66,,"72-74, 76, 80, 82",Between,No,,,,NA,NA,,
741,,NA,,,Carex rostrata,Carex vesicaria,,"72-74, 76, 80, 82",,"74, 82",Between,No,,,,NA,NA,,
743,,NA,,,Carex vesicaria,Carex saxatilis,,"74, 82",,80,Between,No,,,,NA,NA,,
744,,NA,,,Carex saxatilis,Carex viridula,,80,,68,Between,No,,,,NA,NA,,
745,,NA,,,Carex laevigata,Carex binervis,,"71, 72",,74,Between,No,,,,NA,NA,,
748,,NA,,,Carex binervis,Carex punctata,,74,,68,Between,No,,,,NA,NA,,
749,,NA,,,Carex binervis,Carex viridula,,74,,70,Between,No,,,,NA,NA,,
750,,NA,,,Carex distans,Carex extensa,,74,,60,Between,No,,,,NA,NA,,
751,,NA,,,Carex distans,Carex hostiana,,74,,56,Between,No,,,,NA,NA,,
752,,NA,,,Carex distans,Carex viridula,,74,,68,Between,No,,,,NA,NA,,
753,,NA,,,Carex distans,Carex viridula,,74,,70,Between,No,,,,NA,NA,,
754,,NA,,,Carex distans,Carex pilulifera,,74,,70,Between,No,,,,NA,NA,,
755,,NA,,,Carex hostiana,Carex viridula,,56,,68,Between,No,,,,NA,NA,,
756,,NA,,,Carex hostiana,Carex viridula,,56,,70,Between,No,,,,NA,NA,,
757,,NA,,,Carex hostiana,Carex pilulifera,,56,,70,Between,No,,,,NA,NA,,
758,,NA,,,Carex flava,Carex viridula,,60,,68,Between,No,,,,NA,NA,,
759,,NA,,,Carex flava,Carex viridula,,60,,70,Between,No,,,,NA,NA,,
761,,NA,,,Carex viridula,Carex pilulifera,,70,,70,Between,No,Within,,,NA,NA,,
762,,NA,,74,Carex recta,Carex aquatilis,,"74 (70, 73, 74, 76, 84)",,"76, 77",Between,No,,,,NA,NA,,
763,,NA,,,Carex recta,Carex nigra,,"74 (70, 73, 74, 76, 84)",,"83, 84, 85",Between,No,Within,,,NA,NA,,
764,,NA,,,Carex aquatilis,Carex acuta,,"76, 77",,82-85,Between,No,,,,NA,NA,,
765,,NA,,,Carex aquatilis,Carex nigra,,"76, 77",,83-85,Between,No,,,,NA,NA,,
766,,NA,,,Carex aquatilis,Carex bigelowii,,"76, 77",,"68, 69, 70, 71",Between,No,,,,NA,NA,,
767,,NA,,,Carex acuta,Carex nigra,,82-85,,83-85,Between,No,,,,NA,NA,,
768,,NA,,,Carex acuta,Carex elata,,82-85,,74-77,Between,No,,,,NA,NA,,
769,,NA,,,Carex trinervis,Carex nigra,,,,,Between,,,Only one record of trinervis,,NA,NA,,
770,,NA,,Pollen 37-42,Carex nigra,Carex elata,,83-85,,74-77,Between,No,,,,NA,NA,,
771,,NA,,,Carex nigra,Carex bigelowii,,83-85,,68-71,Between,No,,,,NA,NA,,
772,,NA,,28,Schedonorus pratensis,Schedonorus arundinaceus,2,14,6,42,Between,No,Between,,,NA,NA,,
773,,NA,,Artificial 28,Schedonorus pratensis,Schedonorus giganteus,2,14,6,42,Between,No,Between,,,NA,NA,,
774,,NA,,Wild Swedish... 42,Schedonorus arundinaceus,Schedonorus giganteus,6,42,6,42,Between,No,Within,,,NA,NA,,
775,,NA,,"14, 20, 21",Schedonorus pratensis,Lolium perenne,2,14,2,14,Between,No,Within,,,NA,NA,,
776,,NA,,14,Schedonorus pratensis,Lolium multiflorum,2,14,2,14,Between,No,Within,,,NA,NA,,
777,,NA,,,Scolochloa festucacea,Lolium multiflorum,6,42,2,14,Between,No,Within,,,NA,NA,,
778,,NA,,,Schedonorus giganteus,Lolium perenne,6,42,2,14,Between,No,Within,,,NA,NA,,
779,,NA,,,Schedonorus giganteus,Lolium multiflorum,6,42,2,14,Between,,,No records here in UK,,NA,NA,,
780,,NA,,Artificial hybrids 14,Lolium perenne,Lolium multiflorum,2,14,2,14,Between,No,Within,,,NA,NA,,
781,,NA,,,Lolium multiflorum,Lolium rigidum,,,,,Between,,,hybrids very rare and involving wool aliens,,NA,NA,,
782,,NA,,,Lolium multiflorum,Lolium temulentum,,,,,Between,,,hybrids very rare and involving wool aliens,,NA,NA,,
783,,NA,,,Lolium rigidum,Lolium temulentum,,,,,Between,,,hybrids very rare and involving wool aliens,,NA,NA,,
786,,NA,,42,Festuca rubra,Vulpia fasciculata,8,56,4,28,Between,No,Between,,,NA,NA,,
787,,NA,,35,Festuca rubra,Vulpia fasciculata,6,42,4,28,Between,No,Between,,,NA,NA,,
788,,NA,,42?,Festuca rubra,Vulpia bromoides,6,42,2,14,Between,No,Between,,,NA,NA,,
789,,NA,,42,Festuca rubra,Vulpia myuros,6,42,6,42,Between,No,Within,,,NA,NA,,
790,,NA,,Hybrid with 42 is 49,Puccinellia maritima,Puccinellia distans,8,56,Multiple,"28, 42",Between,No,,"Development and cross-species amplification of microsatellite loci for Puccinellia maritima, an important engineer saltmarsh species",,NA,NA,,
791,,NA,,,Puccinellia maritima,Puccinellia rupestris,8,56,6,42,Between,No,,,,NA,NA,,
792,,NA,,,Puccinellia distans,Puccinellia fasciculata,6,42,4,28,Between,No,Between,,,NA,NA,,
793,,NA,,42,Puccinellia distans,Puccinellia rupestris,6,42,6,42,Between,No,Within,,,NA,NA,,
794,,NA,,21?,Poa infirma,Poa annua,2,14,4,28,Between,,,,,NA,NA,,
795,,NA,,,Poa flexuosa,Poa alpina,6,42,Multiple,"32, 35, 39, 84",Between,No,,,,NA,NA,,
796,,NA,,14,Catapodium rigidum,Catapodium marinum,2,14,Multiple,"14, 28",Between,No,,,,NA,NA,,
797,,NA,,,Avena fatua,Avena sativa,6,42,6,42,Between,No,Within,"Notes on species delimination, species relationships and polyploidy in Avena L.",,NA,NA,,
798,,NA,,35,Koeleria vallesiana,Koeleria macrantha,4,28,Multiple,"42, 14, 28, 49, 63",Between,No,,Nuclear DNA Content Variation among Central European Koeleria Taxa,,NA,NA,,
799,,NA,,21,Holcus lanatus,Holcus mollis,2,14,4,"28, 35, 42, 49",Between,No,Between,A new hypothesis for the origin of pentaploid Holcus from diploid Holcus lanatus L. and tetraploid Holcus mollis L. in France,,NA,NA,,
800,,NA,,35,Agrostis capillaris,Agrostis gigantea,4,28,6,42,Between,No,Between,,,NA,NA,,
801,,NA,,,Agrostis capillaris,Agrostis castellana,4,28,Multiple,"28, 42",Between,No,,,,NA,NA,,
802,,NA,,28,Agrostis capillaris,Agrostis stolonifera,4,28,Multiple,"28, 35, 42",Between,No,,,,NA,NA,,
803,,NA,,,Agrostis capillaris,Agrostis vinealis,4,28,4,28,Between,No,Within,,,NA,NA,,
804,,NA,,35,Agrostis gigantea,Agrostis stolonifera,6,42,Multiple,"28, 35, 42",Between,No,,,,NA,NA,,
805,,NA,,28,Agrostis stolonifera,Agrostis vinealis,4,28,4,28,Between,No,Within,,,NA,NA,,
806,,NA,,,Agrostis stolonifera,Polypogon monspeliensis,4,28,4,28,Between,No,Within,,,NA,NA,,
807,,NA,,28,Agrostis stolonifera,Polypogon viridis,4,28,4,28,Between,No,Within,,,NA,NA,,
808,,NA,,"28, 56",Calamagrostis canescens,Calamagrostis stricta,4,28,4,28,Between,No,Within,,,NA,NA,,
809,,NA,,,Calamagrostis epigejos,Ammophila arenaria,Multiple,"28, 42, 56",Multiple,"28, 56",Between,No,Within,,,NA,NA,,
810,,NA,,,Alopecurus pratensis,Alopecurus geniculatus,4,28,4,28,Between,No,Within,,,NA,NA,,
811,,NA,,21,Alopecurus geniculatus,Alopecurus bulbosus,4,28,Multiple,"14, 21, 28",Between,No,,,,NA,NA,,
812,,NA,,,Alopecurus geniculatus,Alopecurus aequalis,4,28,2,14,Between,No,Between,,,NA,NA,,
813,,NA,,,Glyceria fluitans,Glyceria declinata,4,40,2,20,Between,No,Between,,,NA,NA,,
814,,NA,,,Glyceria fluitans,Glyceria notata,4,40,4,40,Between,No,Within,The cytology of the genus Alopecurus (Gramineae),,NA,NA,,
815,,NA,,28,Bromus hordeaceus,Bromus lepidus,4,28,4,28,Between,No,Within,"Chromosome Engineering in Plants: Genetics, Breeding, Evolution",,NA,NA,,
816,,NA,,"42, 63",Elymus repens,Elymus athericus,6,42,6,42,Between,No,Within,Cytological Evaluation and Karyotype Analysis in Plant Germplasms of Elytrigia Desv.,,NA,NA,,
817,,NA,,35,Elymus repens,Elymus junceiformis,6,42,4,28,Between,No,Between,,,NA,NA,,
818,,NA,,35,Elymus athericus,Elymus junceiformis,6,42,4,28,Between,No,Between,,,NA,NA,,
819,,NA,,,Elymus repens,Hordeum secalinum,6,42,2,14,Between,No,Within,,,NA,NA,,
820,,NA,,28,Secale cereale,Triticum aestivum,2,14,6,42,Between,No,Between,,,NA,NA,,
821,,NA,,"49-66, amphidiploid 120-124",Spartina maritima,Spartina alterniflora,6,60,6,62,Between,Yes,Within?,Ainouche 2008 classic paper,,NA,NA,,
